District,Year,Yield,Harvested_Extent,Sown_Extent,Production,Season
BATTICALOA,2009,4189,16020,17073,59.2,Yala
BATTICALOA,2008/2009,3639,45854,45905,58.9,Maha
BATTICALOA,2010,4008,20894,20901,73.9,Yala
BATTICALOA,2009/2010,4031,54329,54855,118.3,Maha
BATTICALOA,2011,4031,21699,21699,77.2,Yala
BATTICALOA,2010/2011,2399,14424,59520,122,Maha
BATTICALOA,2012,3965,23887,23887,83.6,Yala
BATTICALOA,2011/2012,3733,52115,59470,133.5,Maha
BATTICALOA,2013,4603,27556,27556,111.9,Yala
BATTICALOA,2012/2013,2088,62747,66276,153.7,Maha
BATTICALOA,2014,4137,20282,20282,74.1,Yala
BATTICALOA,2013/2014,3024,62204,62204,91.9,Maha
BATTICALOA,2015,4811,26960,27011,114.5,Yala
BATTICALOA,2014/2015,2686,50866,61014,140.2,Maha
BATTICALOA,2016,3536,27330,27360,85.31,Yala
BATTICALOA,2015/2016,3022,56401,61988,140.86,Maha
BATTICALOA,2017,3431,22211,24211,67.26,Yala
BATTICALOA,2016/2017,2516,36866,62836,48.53,Maha
BATTICALOA,2018,4104,25655,25655,92.93,Yala
BATTICALOA,2017/2018,3100,64796,64796,120.12,Maha
BATTICALOA,2019,3683,24505,27444,79.65,Yala
BATTICALOA,2018/2019,3206,67214,67214,126,Maha
BATTICALOA,2020,4582,28943,28955,117.06,Yala
BATTICALOA,2019/2020,3783,61244,66996,158.16,Maha
BATTICALOA,2021,4665,28502,28502,117.35,Yala
BATTICALOA,2022,2950,28696,28696,74.72,Yala
BATTICALOA,2021/2022,1639,66520,66520,100.06,Maha
BATTICALOA,2023,3557,33566,33566,105.37,Yala
BATTICALOA,2022/2023,3088,71433,71433,139.55,Maha
BATTICALOA,2024,3589,33652,33652,106.59,Yala
BATTICALOA,2023/2024,2410,66991,71539,148.07,Maha
COLOMBO,1979,2026,3550,3634,6.1,Yala
COLOMBO,1978/1979,2038,7059,7270,12.2,Maha
COLOMBO,1979/1980,2713,7006,7195,16.2,Maha
COLOMBO,1981,2311,6106,6247,12,Yala
COLOMBO,1980/1981,2689,6928,7045,15.9,Maha
COLOMBO,1982,2667,5719,5911,13,Yala
COLOMBO,1981/1982,2936,7063,7129,17.7,Maha
COLOMBO,1983,1779,2540,2606,3.8,Yala
COLOMBO,1982/1983,3260,6987,7076,19.4,Maha
COLOMBO,1984,2287,5507,5824,10.7,Yala
COLOMBO,1983/1984,2882,6681,6863,16.4,Maha
COLOMBO,1985,2478,4785,4986,10.1,Yala
COLOMBO,1984/1985,2756,6647,6688,16,Maha
COLOMBO,1986,2841,5651,5728,13.7,Yala
COLOMBO,1985/1986,2961,6447,6523,16.3,Maha
COLOMBO,1987,2269,3826,4008,7.4,Yala
COLOMBO,1986/1987,3326,6460,6524,18.3,Maha
COLOMBO,1988,2908,5138,5157,12.7,Yala
COLOMBO,1987/1988,3435,6162,6195,18,Maha
COLOMBO,1989,2251,3542,3559,6.8,Yala
COLOMBO,1988/1989,2940,6250,6328,15.7,Maha
COLOMBO,1990,2477,4819,4836,10.2,Yala
COLOMBO,1989/1990,3375,6426,6443,18.5,Maha
COLOMBO,1991,2013,4758,4815,8.2,Yala
COLOMBO,1990/1991,2970,6344,6346,16.1,Maha
COLOMBO,1992,1602,1762,1877,2.4,Yala
COLOMBO,1991/1992,3567,6311,6314,19.2,Maha
COLOMBO,1993,2150,2101,2146,3.8,Yala
COLOMBO,1992/1993,3290,6010,6024,16.8,Maha
COLOMBO,1994,2136,3645,3675,6.6,Yala
COLOMBO,1993/1994,3240,5777,5785,15.9,Maha
COLOMBO,1995,1796,1905,1917,2.9,Yala
COLOMBO,1994/1995,3148,5566,5608,14.9,Maha
COLOMBO,1996,2080,1255,1369,2.2,Yala
COLOMBO,1995/1996,3157,5291,5359,14.2,Maha
COLOMBO,1997,2032,1695,1730,2.9,Yala
COLOMBO,1996/1997,3490,5282,5286,15.7,Maha
COLOMBO,1998,2532,412,439,0.9,Yala
COLOMBO,1997/1998,3220,5337,5354,14.6,Maha
COLOMBO,1999,2517,3380,3380,7.3,Yala
COLOMBO,1998/1999,3442,4905,4912,14.4,Maha
COLOMBO,2000,2733,1076,1080,2.3,Yala
COLOMBO,1999/2000,3209,4559,4799,12.5,Maha
COLOMBO,2001,2698,954,954,2.2,Yala
COLOMBO,2000/2001,3518,4136,4137,12.4,Maha
COLOMBO,2002,2464,1966,2070,4.4,Yala
COLOMBO,2001/2002,3576,4494,4494,13.7,Maha
COLOMBO,2003,2318,1649,1792,3.3,Yala
COLOMBO,2002/2003,3280,4444,4677,12.4,Maha
COLOMBO,2004,2562,1057,1070,2.3,Yala
COLOMBO,2003/2004,3568,4425,4430,13.4,Maha
COLOMBO,2005,2431,2257,2263,4.7,Yala
COLOMBO,2004/2005,3251,4592,4594,12.7,Maha
COLOMBO,2006,2537,456,480,1,Yala
COLOMBO,2005/2006,3275,4416,4422,12.3,Maha
COLOMBO,2007,3346,878,879,2.5,Yala
COLOMBO,2006/2007,3033,3349,3354,8.9,Maha
COLOMBO,2008,3172,3809,3832,10.3,Yala
COLOMBO,2007/2008,3502,3767,3767,11.2,Maha
COLOMBO,2009,3004,3603,3615,9.2,Yala
COLOMBO,2008/2009,3554,4504,4506,13.6,Maha
COLOMBO,2010,3209,2656,2656,7.2,Yala
COLOMBO,2009/2010,3505,4763,4764,14.2,Maha
COLOMBO,2011,2999,2343,2378,6,Yala
COLOMBO,2010/2011,2706,4625,4651,10.6,Maha
COLOMBO,2012,3002,906,910,2.3,Yala
COLOMBO,2011/2012,3477,4616,4617,13.6,Maha
COLOMBO,2013,2522,1247,1257,2.7,Yala
COLOMBO,2012/2013,3597,4062,4062,12.4,Maha
COLOMBO,2014,3073,978,983,2.6,Yala
COLOMBO,2013/2014,3551,3726,3765,11.2,Maha
COLOMBO,2015,2275,1302,1309,2.5,Yala
COLOMBO,2014/2015,3431,3482,3484,10.2,Maha
COLOMBO,2016,2567,398,402,0.87,Yala
COLOMBO,2015/2016,3414,2888,2896,8.38,Maha
COLOMBO,2017,2720,908,946,2.1,Yala
COLOMBO,2016/2017,3437,2241,2242,6.55,Maha
COLOMBO,2018,3259,1174,1175,3.25,Yala
COLOMBO,2017/2018,3458,3183,3183,9.35,Maha
COLOMBO,2019,3064,788,892,2.05,Yala
COLOMBO,2018/2019,3509,3232,3232,9.64,Maha
COLOMBO,2020,3281,3219,3219,8.98,Yala
COLOMBO,2019/2020,3521,2864,2864,8.57,Maha
COLOMBO,2021,2455,2348,2521,4.9,Yala
COLOMBO,2022,2207,2880,2880,5.41,Yala
COLOMBO,2021/2022,2521,3811,3830,8.17,Maha
COLOMBO,2023,2371,2215,2218,4.46,Yala
COLOMBO,2022/2023,2855,4211,4215,10.22,Maha
COLOMBO,2024,1975,1538,1579,2.58,Yala
COLOMBO,2023/2024,3402,3648,3657,10.55,Maha
GALLE,1979,1375,17968,19583,19.4,Yala
GALLE,1978/1979,1692,18673,19811,56.1,Maha
GALLE,1979/1980,1775,18188,18972,55.4,Maha
GALLE,1981,1741,19297,20217,26.3,Yala
GALLE,1980/1981,2135,19293,19618,56.7,Maha
GALLE,1982,1683,18423,20444,24.3,Yala
GALLE,1981/1982,2181,20197,20393,44.8,Maha
GALLE,1983,1361,8409,9547,9,Yala
GALLE,1982/1983,2141,20420,20803,54.8,Maha
GALLE,1984,1967,19138,20095,29.5,Yala
GALLE,1983/1984,2383,20164,20423,37.7,Maha
GALLE,1985,1924,19648,19847,29.6,Yala
GALLE,1984/1985,2326,19981,20068,36.4,Maha
GALLE,1986,2073,20295,20454,33,Yala
GALLE,1985/1986,2341,20478,20549,37.6,Maha
GALLE,1987,1842,14665,14959,21.2,Yala
GALLE,1986/1987,2676,20007,20196,42,Maha
GALLE,1988,2328,19711,19844,36,Yala
GALLE,1987/1988,2773,19944,20033,43.3,Maha
GALLE,1989,2162,16489,16550,27.9,Yala
GALLE,1988/1989,2867,20063,20088,45.1,Maha
GALLE,1990,2537,18339,18427,36.5,Yala
GALLE,1989/1990,2673,19403,19497,40.7,Maha
GALLE,1991,1911,17583,19007,26.3,Yala
GALLE,1990/1991,2635,19545,19597,40.4,Maha
GALLE,1992,2379,10159,10234,18.9,Yala
GALLE,1991/1992,2659,19621,19687,40.9,Maha
GALLE,1993,1889,14725,15885,21.8,Yala
GALLE,1992/1993,2679,18655,18730,39.2,Maha
GALLE,1994,2134,17002,17182,28.4,Yala
GALLE,1993/1994,2938,18453,18468,42.5,Maha
GALLE,1995,2097,11716,11932,19.2,Yala
GALLE,1994/1995,2651,17573,17652,36.5,Maha
GALLE,1996,2213,12591,12600,21.8,Yala
GALLE,1995/1996,2526,17189,17232,34,Maha
GALLE,1997,2323,9272,9461,16.9,Yala
GALLE,1996/1997,2911,17454,17458,39.8,Maha
GALLE,1998,2302,1490,1603,2.7,Yala
GALLE,1997/1998,3154,17176,17526,42.5,Maha
GALLE,1999,2665,13413,14268,28,Yala
